version,payload,msgs,value,unit
zf-python-new,8000000,60,20952976,ns
zf-python-new,8000000,60,7666301,ns
zf-python-new,8000000,60,19316767,ns
zf-python-new,8000000,60,19726348,ns
zf-python-new,8000000,60,17511531,ns
zf-python-new,8000000,60,7115044,ns
zf-python-new,8000000,60,31601105,ns
zf-python-new,8000000,60,31466626,ns
zf-python-new,8000000,60,27212639,ns
zf-python-new,8000000,60,9578577,ns
zf-python-new,8000000,60,36358161,ns
zf-python-new,8000000,60,29639217,ns
zf-python-new,8000000,60,24633851,ns
zf-python-new,8000000,60,8719373,ns
zf-python-new,8000000,60,26482009,ns
zf-python-new,8000000,60,28234676,ns
zf-python-new,8000000,60,20323845,ns
zf-python-new,8000000,60,7552375,ns
zf-python-new,8000000,60,27918319,ns
zf-python-new,8000000,60,33117340,ns
zf-python-new,8000000,60,23021125,ns
zf-python-new,8000000,60,8453677,ns
zf-python-new,8000000,60,35856437,ns
zf-python-new,8000000,60,35447337,ns
zf-python-new,8000000,60,15952440,ns
zf-python-new,8000000,60,6712975,ns
zf-python-new,8000000,60,21640140,ns
zf-python-new,8000000,60,37544144,ns
zf-python-new,8000000,60,19698138,ns
zf-python-new,8000000,60,7424229,ns
zf-python-new,8000000,60,29079825,ns
zf-python-new,8000000,60,41999431,ns
zf-python-new,8000000,60,18545107,ns
zf-python-new,8000000,60,7267451,ns
zf-python-new,8000000,60,31131107,ns
zf-python-new,8000000,60,43665176,ns
zf-python-new,8000000,60,21048932,ns
zf-python-new,8000000,60,7701837,ns
zf-python-new,8000000,60,34382425,ns
zf-python-new,8000000,60,29670604,ns
zf-python-new,8000000,60,24632982,ns
zf-python-new,8000000,60,7727571,ns
zf-python-new,8000000,60,16404786,ns
zf-python-new,8000000,60,25398618,ns
zf-python-new,8000000,60,16602220,ns
zf-python-new,8000000,60,6563181,ns
zf-python-new,8000000,60,19921403,ns
zf-python-new,8000000,60,32828208,ns
zf-python-new,8000000,60,23723906,ns
zf-python-new,8000000,60,8532502,ns
zf-python-new,8000000,60,35839675,ns
zf-python-new,8000000,60,40375377,ns
zf-python-new,8000000,60,23773870,ns
zf-python-new,8000000,60,8583474,ns
zf-python-new,8000000,60,34468637,ns
zf-python-new,8000000,60,29599767,ns
zf-python-new,8000000,60,24774510,ns
zf-python-new,8000000,60,8717836,ns
zf-python-new,8000000,60,35522334,ns
zf-python-new,8000000,60,35743362,ns
zf-python-new,8000000,60,21047179,ns
zf-python-new,8000000,60,7341944,ns
zf-python-new,8000000,60,19206914,ns
zf-python-new,8000000,60,36348944,ns
